name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note,species,hair_length,eye_size,hero_level,evil_level,energy_level,confidence_level
Hentai☆Shingitai! ~Franky goes to Nagasaki~,https://onepiece.fandom.com/wiki/Hentai%E2%98%86Shingitai!_~Franky_goes_to_Nagasaki~,https://static.wikia.nocookie.net/onepiece/images/d/d0/Hentai%E2%98%86Shingitai%21_~Franky_goes_to_Nagasaki~.png/revision/latest?cb=20170715230918,male,blue,spiky,sharp,square,confident,light,none,muscular,adult,3,8,2,5,9,"muscular, confident, blue hair, anime",강력한 캐릭터의 느낌입니다.,human,short,medium,7,1,8,9
Brook,https://onepiece.fandom.com/wiki/Brook,https://static.wikia.nocookie.net/onepiece/images/4/41/Brook_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20161016160925,male,black,curly,empty,skull,cheerful,white,none,tall,young,5,7,3,8,6,"skeleton, musician, cheerful, unique",독특한 매력을 가진 캐릭터입니다.,skeleton,long,medium,5,1,7,8
Brook (One Piece in Love),https://onepiece.fandom.com/wiki/Brook_(One_Piece_in_Love),https://static.wikia.nocookie.net/onepiece/images/5/52/Brook_%28One_Piece_in_Love%29_Anime_Infobox.png/revision/latest?cb=20250403182745,male,black,curly,round,oval,neutral,light,none,slim,young,5,6,4,3,7,"anime, character, One Piece, unique",독특한 비주얼 느낌입니다.,human,medium,medium,6,2,5,6
Pekkori,https://onepiece.fandom.com/wiki/Pekkori,https://static.wikia.nocookie.net/onepiece/images/d/de/Pekkori_Anime_Infobox.png/revision/latest?cb=20131116175245,male,black,long,narrow,oval,serious,light,none,average,adult,2,6,7,1,5,"serious, dark, average",강렬한 분위기입니다.,human,medium,small,3,4,5,6
Sancrin,https://onepiece.fandom.com/wiki/Sancrin,https://static.wikia.nocookie.net/onepiece/images/3/3e/Sancrin_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20120705174859,male,black,long,sharp,round,smug,light,none,average,adult,2,5,3,7,4,"smug, villain, stylish, long hair",재미있고 자신감 넘치는 모습입니다.,human,medium,small,1,6,5,8
Yomi Yomi no Mi,https://onepiece.fandom.com/wiki/Yomi_Yomi_no_Mi,https://static.wikia.nocookie.net/onepiece/images/3/3b/Yomi_Yomi_no_Mi_Infobox.png/revision/latest?cb=20201116170233,unknown,,,,round,neutral,yellow-red,none,round,timeless,7,3,1,5,8,"fruit, round, colorful",귀엽고 독특한 모습입니다.,fruit,,,2,1,6,4
Soul Solid,https://onepiece.fandom.com/wiki/Soul_Solid,https://static.wikia.nocookie.net/onepiece/images/5/59/Soul_Solid_Infobox.png/revision/latest?cb=20260421183726,male,black,afro,skeleton,skull,confident,none,none,slim,young,2,8,7,5,9,"skeleton, afro, confident, sword",멋진 캐릭터입니다.,skeleton,long,medium,6,3,8,9
Infiltrate!! Thousand Sunny,https://onepiece.fandom.com/wiki/Infiltrate!!_Thousand_Sunny,https://static.wikia.nocookie.net/onepiece/images/f/fc/SERENA%C3%97ONE_PIECE_3D.png/revision/latest?cb=20130826134738,male,black,spiky,round,oval,determined,light,none,muscular,young,5,8,2,4,9,"anime, pirate, adventure",강력한 영웅의 느낌입니다.,human,short,large,10,1,8,9
Binks' Sake,https://onepiece.fandom.com/wiki/Binks%27_Sake,https://static.wikia.nocookie.net/onepiece/images/9/97/Binks%27_Sake_Infobox.png/revision/latest?cb=20130125215919,male,white,long,round,round,cheerful,light,none,slim,young,7,5,1,6,4,"pirate, cheerful, music, adventure",재미있고 활기찬 느낌입니다.,human,long,medium,5,1,8,6
Jinbe,https://onepiece.fandom.com/wiki/Jinbe,https://static.wikia.nocookie.net/onepiece/images/8/81/Jinbe_Anime_Infobox.png/revision/latest?cb=20170521201349,male,black,curly,round,wide,neutral,blue,goatee,large,adult,3,7,2,4,8,"anime, fishman, strong, unique",강력한 캐릭터의 느낌입니다.,fishman,short,medium,6,1,5,7
"Solo Journey of Jinbe, Knight of the Sea","https://onepiece.fandom.com/wiki/Solo_Journey_of_Jinbe,_Knight_of_the_Sea",https://static.wikia.nocookie.net/onepiece/images/d/d5/Solo_Journey_of_Jinbe%2C_Knight_of_the_Sea.png/revision/latest?cb=20231120190021,male,black,short,round,round,serious,light,none,large,adult,3,7,2,1,8,"knight, sea, adventure",바다의 기사 같은 느낌이에요.,human,short,medium,6,1,5,7
Fish-Man Jujutsu,https://onepiece.fandom.com/wiki/Fish-Man_Jujutsu,https://static.wikia.nocookie.net/onepiece/images/2/22/Fish-Man_Jujutsu_Infobox.png/revision/latest?cb=20231206143458,male,black,curly,narrow,angular,angry,blue,none,muscular,adult,2,8,6,3,9,"fish-man, muscular, angry",강력한 느낌의 캐릭터입니다.,fish-man,short,medium,2,7,8,9
S-Shark,https://onepiece.fandom.com/wiki/S-Shark,https://static.wikia.nocookie.net/onepiece/images/9/92/S-Shark_Anime_Infobox.png/revision/latest?cb=20240407033821,male,white,spiky,angry,round,angry,light,none,muscular,adult,2,6,4,3,8,"muscular,angry,spiky hair",강력한 느낌의 캐릭터입니다.,human,short,medium,5,2,7,9
Helmsman,https://onepiece.fandom.com/wiki/Helmsman,https://static.wikia.nocookie.net/onepiece/images/5/5b/Jinbe_Tack_Sailing.png/revision/latest?cb=20240829205659,male,black,short,angry,angular,angry,blue,none,muscular,adult,2,7,5,3,8,"anime, muscular, blue skin, angry expression",강력한 느낌의 캐릭터입니다.,human,short,medium,6,4,7,8
Portgas D. Ace,https://onepiece.fandom.com/wiki/Portgas_D._Ace,https://static.wikia.nocookie.net/onepiece/images/4/4f/Portgas_D._Ace_Anime_Infobox.png/revision/latest?cb=20240629132600,male,black,long and messy,sharp,angular,confident,light,none,muscular,young adult,3,9,4,2,8,"muscular, confident, pirate, fire",강력한 느낌의 캐릭터입니다.,human,medium,medium,7,1,8,9
Portgas D. Rouge,https://onepiece.fandom.com/wiki/Portgas_D._Rouge,https://static.wikia.nocookie.net/onepiece/images/9/9c/Portgas_D._Rouge_Anime_Infobox.png/revision/latest?cb=20240731221040,female,pink,wavy,simple,oval,serious,light,none,slim,young,7,3,1,1,2,"anime,female,serious,slim",아름답고 신비로운 느낌입니다.,human,long,medium,4,1,5,6
Kimel,https://onepiece.fandom.com/wiki/Kimel,https://static.wikia.nocookie.net/onepiece/images/d/d4/Kimel_Anime_Infobox.png/revision/latest?cb=20220306063450,male,pink,hat,slanted,round,neutral,light,none,average,adult,3,4,2,5,3,"anime, character, pink, neutral",귀여운 캐릭터입니다.,human,short,medium,2,1,4,5
Dogya,https://onepiece.fandom.com/wiki/Dogya,https://static.wikia.nocookie.net/onepiece/images/3/36/Dogya_Manga_Infobox.png/revision/latest?cb=20200508174451,male,black,spiky,round,round,angry,light,none,muscular,adult,2,5,3,4,8,"muscular, angry, spiky hair, cartoon",강력한 느낌의 캐릭터입니다.,human,short,medium,6,2,7,9
Cornelia,https://onepiece.fandom.com/wiki/Cornelia,https://static.wikia.nocookie.net/onepiece/images/f/f2/Cornelia_Anime_Infobox.png/revision/latest?cb=20220306061707,male,purple,long,narrow,angular,serious,light,none,muscular,young,2,8,5,1,9,"anime,male,purple hair,muscular",강렬한 인상을 주는 캐릭터입니다.,human,medium,medium,6,3,7,8
A O,https://onepiece.fandom.com/wiki/A_O,https://static.wikia.nocookie.net/onepiece/images/8/8c/A_O_Anime_Infobox.png/revision/latest?cb=20230528152214,male,green,wavy,angry,square,angry,light,none,muscular,adult,2,6,4,3,8,"pirate, angry, muscular",강력한 해적의 모습입니다.,human,long,medium,3,5,7,9
Kukai,https://onepiece.fandom.com/wiki/Kukai,https://static.wikia.nocookie.net/onepiece/images/e/e2/Kukai_Anime_Infobox.png/revision/latest?cb=20220306063104,male,brown,short,narrow,angular,serious,light,none,muscular,adult,2,7,5,1,6,"serious, mysterious, cool",강렬한 느낌의 캐릭터입니다.,human,short,medium,5,3,4,8
Saber,https://onepiece.fandom.com/wiki/Saber,https://static.wikia.nocookie.net/onepiece/images/b/b4/Saber_Anime_Infobox.png/revision/latest?cb=20171114122107,male,brown,wavy,round,square,serious,light,light stubble,muscular,adult,2,6,3,1,8,"muscular, serious, cowboy, anime",강한 인상을 주는 캐릭터입니다.,human,medium,large,5,1,7,8
Finamore,https://onepiece.fandom.com/wiki/Finamore,https://static.wikia.nocookie.net/onepiece/images/a/ac/Finamore_Anime_Infobox.png/revision/latest?cb=20171114122129,male,light blue,wrapped,narrow,oval,determined,light,none,slim,young,4,5,2,3,6,"anime, character, determined, unique",독특한 외모의 캐릭터입니다.,human,short,medium,4,1,7,6
Barry,https://onepiece.fandom.com/wiki/Barry,https://static.wikia.nocookie.net/onepiece/images/e/ed/Barry_Anime_Infobox.png/revision/latest?cb=20220306062729,male,brown,long,narrow,angular,serious,light,none,slim,adult,2,5,7,1,6,"mysterious, serious, dark",신비로운 느낌이 있다.,human,medium,small,3,4,5,6
Ducky Bree,https://onepiece.fandom.com/wiki/Ducky_Bree,https://static.wikia.nocookie.net/onepiece/images/9/91/Ducky_Bree_Anime_Infobox.png/revision/latest?cb=20190721041335,male,black,spiky,narrow,angular,serious,light,none,muscular,adult,2,8,5,1,7,"serious,muscular,spiky hair",강한 느낌의 캐릭터입니다.,human,short,medium,6,2,6,7
Aggie 68,https://onepiece.fandom.com/wiki/Aggie_68,https://static.wikia.nocookie.net/onepiece/images/e/e9/Aggie_68_Anime_Infobox.png/revision/latest?cb=20171114122121,male,brown,wavy,round,square,confident,light,none,muscular,young adult,4,7,2,3,8,"anime,male,confident,muscular",강한 느낌의 캐릭터입니다.,human,medium,medium,6,1,7,8
Gol D. Roger,https://onepiece.fandom.com/wiki/Gol_D._Roger,https://static.wikia.nocookie.net/onepiece/images/2/24/Gol_D._Roger_Anime_Infobox.png/revision/latest?cb=20230612100153,male,black,long,sharp,square,smirk,tan,full,muscular,middle-aged,2,8,3,4,10,"pirate, captain, strong, charismatic",강력한 카리스마를 가진 캐릭터입니다.,human,medium,medium,9,1,7,9
Hublot,https://onepiece.fandom.com/wiki/Hublot,https://static.wikia.nocookie.net/onepiece/images/1/15/Hublot_Anime_Infobox.png/revision/latest?cb=20220306064241,male,purple,long,normal,oval,neutral,light,none,muscular,young,5,7,3,2,8,"anime,male,purple hair,muscular",강력한 캐릭터의 느낌입니다.,human,medium,medium,6,1,7,8
Wallace,https://onepiece.fandom.com/wiki/Wallace,https://static.wikia.nocookie.net/onepiece/images/6/65/Wallace_Manga_Infobox.png/revision/latest?cb=20200508174007,male,black,messy,narrow,angular,serious,light,none,muscular,adult,2,7,5,1,8,"warrior, serious, muscular, dark",강력한 전사 같은 느낌입니다.,human,medium,small,4,3,6,7
Skull,https://onepiece.fandom.com/wiki/Skull,https://static.wikia.nocookie.net/onepiece/images/c/c4/Skull_Anime_Infobox.png/revision/latest?cb=20220306060059,male,blue,curly,round,round,smiling,light,none,large,adult,5,7,3,8,6,"skeleton, pirate, colorful, humorous",재미있는 캐릭터입니다.,human,medium,large,4,2,7,6
Striker,https://onepiece.fandom.com/wiki/Striker,https://static.wikia.nocookie.net/onepiece/images/4/41/Striker_Infobox.png/revision/latest?cb=20230617124544,male,black,messy,round,oval,smiling,tan,none,muscular,young,5,8,2,6,7,"adventurous, playful, energetic",활기찬 느낌의 캐릭터입니다.,human,medium,medium,6,1,9,8
Banshee,https://onepiece.fandom.com/wiki/Banshee,https://static.wikia.nocookie.net/onepiece/images/c/c0/Banshee_Anime_Infobox.png/revision/latest?cb=20220306061402,female,orange,wavy,almond,round,smug,light,none,curvy,adult,4,6,2,3,5,"smug, curvy, wavy hair, orange hair",강한 자신감을 느낀다.,human,long,medium,2,3,7,8
Kotatsu,https://onepiece.fandom.com/wiki/Kotatsu,https://static.wikia.nocookie.net/onepiece/images/c/c4/Kotatsu_Anime_Infobox.png/revision/latest?cb=20220306055415,male,yellow,fluffy,narrow,round,angry,yellow,none,muscular,adult,5,7,2,3,8,"feline, fierce, strong",강력한 느낌의 캐릭터입니다.,animal,short,medium,6,1,9,8
Kechatch,https://onepiece.fandom.com/wiki/Kechatch,https://static.wikia.nocookie.net/onepiece/images/b/b0/Kechatch_Infobox.png/revision/latest?cb=20170313044055,male,blonde,wavy,sharp,angular,smirking,light,none,slim,young,3,8,2,4,7,"pirate, adventurous, mischievous",재미있고 자신감 넘치는 캐릭터입니다.,human,long,medium,5,3,6,9
South Blue,https://onepiece.fandom.com/wiki/South_Blue,https://static.wikia.nocookie.net/onepiece/images/6/6f/Summit_War_South_Blue.png/revision/latest?cb=20241023071909,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0
Ace (Sword),https://onepiece.fandom.com/wiki/Ace_(Sword),https://static.wikia.nocookie.net/onepiece/images/9/9b/Ace_%28Sword%29_Infobox.png/revision/latest?cb=20210701045915,male,black,wavy,narrow,square,smirking,light,mustache,muscular,adult,2,8,3,2,9,"sword, pirate, confident, muscular",강력한 전사 같은 느낌입니다.,human,medium,medium,7,1,8,9
Draw,https://onepiece.fandom.com/wiki/Draw,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,,,,,,,,,,,0,0,0,0,0,,비주얼이 보이지 않습니다.,,,,0,0,0,0
Mr. Mellow,https://onepiece.fandom.com/wiki/Mr._Mellow,https://static.wikia.nocookie.net/onepiece/images/a/a8/Mr._Mellow_Anime_Infobox.png/revision/latest?cb=20230423235022,male,black,messy,simple,square,smirk,light,none,muscular,adult,3,7,2,5,8,"muscular,smirk,casual",강한 느낌의 캐릭터입니다.,human,medium,medium,4,1,6,7
Mera Mera no Mi,https://onepiece.fandom.com/wiki/Mera_Mera_no_Mi,https://static.wikia.nocookie.net/onepiece/images/8/8c/Mera_Mera_no_Mi_Infobox.png/revision/latest?cb=20240710204632,unknown,orange,flame,none,round,none,orange,none,round,none,5,7,0,3,8,"flame, fruit, round, orange",불꽃 같은 비주얼입니다.,fruit,short,none,0,0,9,6
G.E.M. Series,https://onepiece.fandom.com/wiki/G.E.M._Series,https://static.wikia.nocookie.net/onepiece/images/9/91/G.E.M._Series_Monkey_D._Luffy_Run_Run_Run.png/revision/latest?cb=20221212035545,male,black,spiky,round,round,smiling,light,none,slim,young,8,6,2,7,5,"anime, character, playful, adventurous",귀엽고 활기찬 느낌입니다.,human,short,large,7,1,9,8
Vitan,https://onepiece.fandom.com/wiki/Vitan,https://static.wikia.nocookie.net/onepiece/images/8/86/Vitan_Manga_Infobox.png/revision/latest?cb=20170319020323,male,black,messy,round,angular,angry,light,none,muscular,adult,2,7,5,1,8,"pirate, muscular, angry",강렬한 느낌의 캐릭터입니다.,human,short,medium,6,4,7,8
Baggaley,https://onepiece.fandom.com/wiki/Baggaley,https://static.wikia.nocookie.net/onepiece/images/a/a3/Baggaley_Manga_Infobox.png/revision/latest?cb=20240625022139,male,white,long,narrow,angular,angry,light,none,slim,adult,2,7,5,1,8,"angry,white hair,long hair,slim",강렬한 느낌의 캐릭터입니다.,human,medium,small,3,6,7,8
Curly Dadan,https://onepiece.fandom.com/wiki/Curly_Dadan,https://static.wikia.nocookie.net/onepiece/images/b/b4/Curly_Dadan_Anime_Infobox.png/revision/latest?cb=20160802231340,female,orange,curly,round,round,angry,light,none,large,adult,2,3,1,4,7,"curly, angry, large, strong",강한 인상을 주는 캐릭터입니다.,human,medium,large,2,1,6,8
Ninth,https://onepiece.fandom.com/wiki/Ninth,https://static.wikia.nocookie.net/onepiece/images/5/57/Ninth_Manga_Infobox.png/revision/latest?cb=20170317042229,male,black,spiky,sharp,angular,smiling,light,none,muscular,adult,2,8,4,5,7,"anime,male,spiky hair,muscular",강렬한 인상입니다.,human,short,medium,6,3,8,9
Baterilla,https://onepiece.fandom.com/wiki/Baterilla,https://static.wikia.nocookie.net/onepiece/images/1/14/Baterilla_Infobox.png/revision/latest?cb=20121104171115,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0
Mihar,https://onepiece.fandom.com/wiki/Mihar,https://static.wikia.nocookie.net/onepiece/images/8/87/Mihar_Anime_Infobox.png/revision/latest?cb=20220418075745,male,blonde,short,narrow,square,smirk,light,none,muscular,adult,3,8,2,4,7,"confident, cool, muscular, smirk",매우 자신감 넘치는 모습입니다.,human,short,medium,6,1,7,9
Super Rookie,https://onepiece.fandom.com/wiki/Super_Rookie,https://static.wikia.nocookie.net/onepiece/images/2/2b/Sabaody_Archipelago_Arc.png/revision/latest?cb=20230403161152,male,black,spiky,round,round,smiling,light,none,slim,young,8,5,1,7,6,"anime, pirate, cheerful, adventurous",귀여운 모험가의 모습입니다.,human,short,large,9,1,9,8
Eric Dow,https://onepiece.fandom.com/wiki/Eric_Dow,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,,,,,,,,,,,0,0,0,0,0,,이미지를 확인할 수 없습니다.,,,,0,0,0,0
Gowns Brothers,https://onepiece.fandom.com/wiki/Gowns_Brothers,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,male,varied,short,round,angular,neutral,light,none,average,young,5,7,3,4,6,"brothers, anime, stylish",형제 같은 느낌이에요.,human,medium,medium,5,2,6,7
Gild Tesoro,https://onepiece.fandom.com/wiki/Gild_Tesoro,https://static.wikia.nocookie.net/onepiece/images/9/91/Gild_Tesoro_Anime_Infobox.png/revision/latest?cb=20190404152956,male,green,spiky,sharp,angular,smirking,tan,none,muscular,adult,2,8,3,4,9,"stylish, confident, villain, flashy",화려한 악당의 느낌입니다.,human,short,medium,2,7,8,9
Jorge,https://onepiece.fandom.com/wiki/Jorge,https://static.wikia.nocookie.net/onepiece/images/1/1d/Jorge_Anime_Infobox.png/revision/latest?cb=20240727162917,male,white,long,narrow,angular,serious,light,long,slim,old,2,6,3,1,7,"wise, serious, elder",강력한 느낌의 캐릭터입니다.,human,long,medium,5,2,4,8
Squard,https://onepiece.fandom.com/wiki/Squard,https://static.wikia.nocookie.net/onepiece/images/b/b8/Squard_Anime_Infobox.png/revision/latest?cb=20140921221031,male,pink,wavy,sharp,angular,angry,light,none,muscular,adult,2,7,5,3,8,"muscular,angry,pirate",강렬한 인상을 주는 캐릭터입니다.,human,long,medium,4,6,7,9
Raoul,https://onepiece.fandom.com/wiki/Raoul,https://static.wikia.nocookie.net/onepiece/images/a/a1/Raoul_Anime_Infobox.png/revision/latest?cb=20230912212114,male,purple,beanie,round,wrinkled,grumpy,light,none,thin,old,2,3,1,4,5,"grumpy, old, human, anime",시니컬한 느낌이 있다.,human,short,small,2,1,3,4
Donald Moderate,https://onepiece.fandom.com/wiki/Donald_Moderate,https://static.wikia.nocookie.net/onepiece/images/8/8a/Donald_Moderate_Anime_Infobox.png/revision/latest?cb=20200407164721,male,brown,curly,round,round,smiling,light,none,large,adult,3,2,1,7,4,"anime, comedic, flamboyant",재미있는 캐릭터입니다.,human,short,medium,2,1,6,5
Loguetown,https://onepiece.fandom.com/wiki/Loguetown,https://static.wikia.nocookie.net/onepiece/images/2/27/Loguetown_Infobox.png/revision/latest?cb=20230607225302,,,,,,,,,,,0,0,0,0,0,,비주얼이 독특하다.,,,,0,0,0,0
Crocus,https://onepiece.fandom.com/wiki/Crocus,https://static.wikia.nocookie.net/onepiece/images/3/34/Crocus_Anime_Infobox.png/revision/latest?cb=20230403010215,male,white,long,narrow,angular,serious,light,long,average,old,2,5,3,4,6,"old, serious, wise, unique",독특한 외모의 캐릭터입니다.,human,long,medium,4,2,3,7
Naguri,https://onepiece.fandom.com/wiki/Naguri,https://static.wikia.nocookie.net/onepiece/images/8/8d/Naguri_Anime_Infobox.png/revision/latest?cb=20130718102131,male,white,spiky,round,square,smiling,light,none,muscular,old,3,6,2,5,7,"old, wise, strong, humorous",강력하고 유머러스한 느낌입니다.,human,short,medium,5,1,6,8
Muchigoro,https://onepiece.fandom.com/wiki/Muchigoro,https://static.wikia.nocookie.net/onepiece/images/c/c0/Muchigoro_Anime_Infobox.png/revision/latest?cb=20131013225151,male,black,spiky,round,oval,angry,light,none,muscular,adult,2,5,3,7,6,"angry,muscular,funny",강한 느낌의 캐릭터입니다.,human,short,large,4,2,8,7
Yui,https://onepiece.fandom.com/wiki/Yui,https://static.wikia.nocookie.net/onepiece/images/2/2f/Yui_Anime_Infobox.png/revision/latest?cb=20210321033432,male,red,spiky,narrow,angular,serious,light,none,average,adult,2,7,5,1,6,"serious, spiky hair, red hair, angular face",강렬한 인상을 주는 캐릭터입니다.,human,short,medium,3,4,5,6
Trafalgar D. Water Law,https://onepiece.fandom.com/wiki/Trafalgar_D._Water_Law,https://static.wikia.nocookie.net/onepiece/images/4/4d/Trafalgar_D._Water_Law_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20230124163510,male,black,messy,sharp,oval,serious,light,none,slim,young adult,2,8,6,1,9,"anime, pirate, doctor, serious",강렬한 분위기를 가진 캐릭터입니다.,human,short,medium,7,3,5,8
Wellington,https://onepiece.fandom.com/wiki/Wellington,https://static.wikia.nocookie.net/onepiece/images/e/ed/Wellington_Anime_Infobox.png/revision/latest?cb=20240705011127,male,brown,spiky,angry,round,ferocious,light,full,muscular,adult,2,5,3,4,8,"muscular,angry,heroic",강력한 느낌의 캐릭터입니다.,human,short,large,6,2,7,9
Kalik Meidara,https://onepiece.fandom.com/wiki/Kalik_Meidara,https://static.wikia.nocookie.net/onepiece/images/2/2b/Kalik_Meidara_Infobox.png/revision/latest?cb=20241206014057,male,black,long,narrow,angular,intense,light,none,muscular,adult,2,8,7,1,9,"muscular,intense,warrior",강력한 전사 느낌입니다.,human,long,medium,6,3,8,9
Onigiri (Non-Canon),https://onepiece.fandom.com/wiki/Onigiri_(Non-Canon),https://static.wikia.nocookie.net/onepiece/images/d/df/Onigiri_%28Non-Canon%29_Infobox.png/revision/latest?cb=20221126213759,unknown,white,fluffy,round,round,happy,light,none,small,young,10,0,0,5,1,"cute, fluffy, animal",귀여운 동물 같은 느낌이에요.,animal,short,small,0,0,5,3
Kardia,https://onepiece.fandom.com/wiki/Kardia,https://static.wikia.nocookie.net/onepiece/images/a/a5/Kardia_Infobox.png/revision/latest?cb=20210809014921,male,purple,spiky,narrow,angular,serious,light,none,slim,young,4,8,5,2,7,"anime, warrior, stylish, serious",강렬한 전사 느낌입니다.,human,medium,medium,6,3,6,7
"Luffy, Law","https://onepiece.fandom.com/wiki/Luffy,_Law",https://static.wikia.nocookie.net/onepiece/images/4/40/Luffy%2C_Law_Infobox.png/revision/latest?cb=20250119200012,male,black,spiky,round,round,smiling,light,none,slim,young,8,6,2,7,9,"anime, pirate, cheerful",밝고 에너지가 넘친다.,human,short,large,8,1,10,9
HQS by Tsume,https://onepiece.fandom.com/wiki/HQS_by_Tsume,https://static.wikia.nocookie.net/onepiece/images/7/72/HQS_Zoro_Pose_1.png/revision/latest?cb=20220710162459,male,black,short,sharp,angular,determined,light,none,muscular,young adult,3,8,5,2,9,"anime, warrior, action, strong",강력한 전사 느낌입니다.,human,medium,medium,7,1,8,9
Sheronia,https://onepiece.fandom.com/wiki/Sheronia,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,,,,,,,,,,,0,0,0,0,0,,비주얼이 보이지 않습니다.,,,,0,0,0,0
Kumamate,https://onepiece.fandom.com/wiki/Kumamate,https://static.wikia.nocookie.net/onepiece/images/4/4f/Kumamate_One_Piece_Monkey_D._Luffy.png/revision/latest?cb=20221119205021,male,yellow,none,round,round,happy,light,none,plush,young,8,3,1,5,2,"cute, plush, bear, happy",귀여운 인형 같은 모습입니다.,bear,short,small,4,1,6,5
Raid on Onigashima,https://onepiece.fandom.com/wiki/Raid_on_Onigashima,https://static.wikia.nocookie.net/onepiece/images/6/6a/Raid_on_Onigashima_Infobox.png/revision/latest?cb=20220802161726,male,black,spiky,narrow,square,angry,light,none,muscular,adult,2,8,5,1,9,"samurai, warrior, fierce",강력한 전사 같은 모습입니다.,human,medium,medium,7,2,8,9
Haritsu Kendiyo,https://onepiece.fandom.com/wiki/Haritsu_Kendiyo,https://static.wikia.nocookie.net/onepiece/images/5/59/Haritsu_Kendiyo_Anime_Infobox.png/revision/latest?cb=20190904140846,male,green,spiky,angry,round,angry,light,none,large,adult,2,5,3,4,8,"angry,large,spiky hair",강력한 느낌의 캐릭터입니다.,human,short,medium,6,2,7,9
Victoria Shiruton Doruyanaika,https://onepiece.fandom.com/wiki/Victoria_Shiruton_Doruyanaika,https://static.wikia.nocookie.net/onepiece/images/b/b4/Victoria_Shiruton_Doruyanaika_Manga_Infobox.png/revision/latest?cb=20210304173730,female,blonde,bob,angry,round,angry,light,none,slim,young,2,3,5,1,6,"angry,young,female,anime",강렬한 표정의 캐릭터입니다.,human,short,medium,2,4,7,8
Heat,https://onepiece.fandom.com/wiki/Heat,https://static.wikia.nocookie.net/onepiece/images/3/30/Heat_Anime_Infobox.png/revision/latest?cb=20231216144053,male,light blue,long and wavy,round,angular,serious,light,none,muscular,adult,2,7,5,1,8,"muscular, serious, long hair, blue hair",강력한 느낌의 캐릭터입니다.,human,long,medium,4,3,6,7
Pomp,https://onepiece.fandom.com/wiki/Pomp,https://static.wikia.nocookie.net/onepiece/images/4/49/Pomp_Anime_Infobox.png/revision/latest?cb=20240505021753,male,blonde,messy,round,round,angry,light,none,muscular,young,3,4,2,5,6,"angry, muscular, anime",강렬한 표정의 캐릭터입니다.,human,short,large,3,2,7,5
Cyborgs,https://onepiece.fandom.com/wiki/Cyborgs,https://static.wikia.nocookie.net/onepiece/images/8/88/Cyborgs_Infobox.png/revision/latest?cb=20260117143328,male,blonde,spiky,round,angular,confident,light,none,muscular,adult,3,8,2,4,9,"cyborg,muscular,confident",강력한 느낌의 캐릭터입니다.,cyborg,medium,large,7,1,8,9
Papas,https://onepiece.fandom.com/wiki/Papas,https://static.wikia.nocookie.net/onepiece/images/5/53/Papas_Anime_Infobox.png/revision/latest?cb=20230625035358,male,light,short,round,square,smiling,light,none,muscular,young,3,7,1,5,8,"muscular,smiling,young,energetic",활기찬 느낌의 캐릭터입니다.,human,short,medium,6,2,9,8
Dive,https://onepiece.fandom.com/wiki/Dive,https://static.wikia.nocookie.net/onepiece/images/a/a0/Dive_Anime_Infobox.png/revision/latest?cb=20231029102947,female,green,pigtails,round,round,smiling,light,none,slim,young,5,3,2,7,4,"anime, playful, quirky",재미있는 캐릭터입니다.,human,medium,large,2,3,8,6
Prisoner Mine,https://onepiece.fandom.com/wiki/Prisoner_Mine,https://static.wikia.nocookie.net/onepiece/images/1/1b/Prisoner_Mine_Infobox.png/revision/latest?cb=20200119190300,female,pink,spiky,sharp,angular,determined,light,none,slim,young,5,8,7,2,9,"anime,female,pink hair,determined",강렬한 느낌의 캐릭터입니다.,human,short,medium,3,6,8,9
Demalo Black,https://onepiece.fandom.com/wiki/Demalo_Black,https://static.wikia.nocookie.net/onepiece/images/d/d4/Demalo_Black_Anime_Infobox.png/revision/latest?cb=20241103021619,male,brown,messy,round,round,smiling,light,none,fat,adult,3,4,2,6,5,"smiling, fat, gun, casual",재미있는 느낌의 캐릭터입니다.,human,short,medium,3,1,5,7
Bubblegum,https://onepiece.fandom.com/wiki/Bubblegum,https://static.wikia.nocookie.net/onepiece/images/a/a4/Bubblegum_Anime_Infobox.png/revision/latest?cb=20231020192436,male,blue,spiky,sharp,angular,smiling,light,none,muscular,young adult,2,7,3,5,8,"anime,male,spiky hair,muscular",재미있고 강력한 캐릭터입니다.,human,medium,medium,4,2,6,7
